,id,slug,status,title,property_type,purchase_type,bedrooms,bathrooms,area,city,state,photo_url,lister,lat,lng,price,createdat,price_per_sq_ft,trends
0,23421,fully-converted-diesel-school-bus-home,active,Fully-Converted Diesel School Bus Home,Converted Bus,purchase,2.0,1.0,314.0,Brandon,South Dakota,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_3484_wdqkqa_i1vyas.jpg,138526,43.6,-96.59,37000.0,2021-02-08,117.83,
1,23419,new-luxurious-full-kitchen-full-bath-26,active,NEW  Luxurious - Full Kitchen - Full Bath 26',Tiny House,purchase,2.0,1.0,221.0,Oregon City,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/T-1.13_zc3pbn.jpg,167930,45.33,-122.57,99000.0,2021-02-08,447.96,
2,23418,beautiful-new-container-home-for-sale,active,Beautiful New Container Home For Sale,Container Home,purchase,1.0,1.0,320.0,Liberty City,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/0DD0497B-9C07-4AD7-B4CA-B981E3DB4840_doqtnr_wewg1a.jpg,138526,32.38,-94.87,65000.0,2021-02-07,203.12,
3,23417,3-bed-2-bath-tiny-duplex,active,3 Bed 2 Bath Tiny Duplex,Tiny House,purchase,3.0,2.0,399.0,Kennesaw,Georgia,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_6182_y5uebn.jpg,135075,34.0,-84.62,27800.0,2021-02-07,69.67,
4,23416,beautiful-off-grid-skoolie-ready-to-roam,active,Beautiful Off Grid Skoolie (Ready To Roam),Converted Bus,purchase,1.0,1.0,143.0,The Hills,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/02BE7833-DA25-47F4-AA03-256B6865A980_ryvv2i_fqdj1l.jpg,138526,30.31,-97.94,52500.0,2021-02-07,367.13,Boho
5,23413,converted-skoolie-with-solar-power-ready-for-your-tiny-home-dreams-crown-bus,active,Converted Skoolie with Solar Power - Ready for your Tiny Home Dreams - Crown Bus,Converted Bus,purchase,0.0,0.0,210.0,Hayward,California,http://res.cloudinary.com/tinyhouselistings/image/upload/Exterior_2_rhdn2b.jpg,167864,37.64,-122.11,27000.0,2021-02-07,128.57,Boho
6,23404,eco-friendly-tiny-house-with-modern-farmhouse-design,active,Eco-friendly Tiny House with Modern Farmhouse Design,Tiny Eco House,purchase,1.0,1.0,150.0,santa barbara,California,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_8710-1_uanizy.jpg,167055,34.43,-119.72,72000.0,2021-02-05,480.0,Farmhouse
7,23403,waco-tiny-house-for-sale,active,Waco Tiny House for Sale,Tiny House,purchase,0.0,1.0,192.0,Lorena,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/fa2465cd-228a-43f8-b4da-6ca3b2076094_rjw9a8.jpg,167700,31.39,-97.21,25000.0,2021-02-05,130.21,
8,23399,the-basecamp-28ft-luxury-cedar-tiny-house-on-wheels-furnished-ready-to-move,active,THE BASECAMP - 28ft Luxury Cedar Tiny House on Wheels - Furnished - Ready to Move! ,Tiny House On Wheels,rent,1.0,1.0,192.0,Birmingham,Alabama,http://res.cloudinary.com/tinyhouselistings/image/upload/Tacoma_OFFROAD_38_oynpsf.jpg,71874,33.34,-86.78,69000.0,2021-02-04,359.38,Treehouse
9,23398,40-container-home-that-can-stay-on-land,active,"40’ Container- Walnut shelves, Ambrosia Maple Walls, Slate Tile Floor",Container Home,purchase,1.0,1.0,280.0,Urbana,Illinois,http://res.cloudinary.com/tinyhouselistings/image/upload/Jared_-_D25C8531-A5B6-4667-8420-5CA2BFC1A11C_tlwify.jpg,138526,40.138306,-88.161651,34500.0,2021-02-04,123.21,
10,23396,8x24-tiny-home-on-wheels-new-and-amazing,active,8x24 Tiny Home on Wheels NEW and Amazing,Tiny House On Wheels,purchase,0.0,1.0,192.0,Salt Lake City,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_6786_bjaq5g.jpg,167602,40.68,-111.82,55000.0,2021-02-04,286.46,
11,23392,beautiful-100-eco-tiny-home,active,28’ Beautiful 100% Eco Tiny Home,Tiny Eco House,purchase,3.0,1.0,240.0,Ventura,California,http://res.cloudinary.com/tinyhouselistings/image/upload/35B8F863-5256-4D95-97C6-D7FFAF868154_nleew4.jpg,138699,34.28,-119.29,89000.0,2021-02-03,370.83,Eco
13,23388,tiny-house-custom-built,active,Tiny House Custom Built ,Tiny House,purchase,1.0,1.0,602.0,Winslow,Arkansas,http://res.cloudinary.com/tinyhouselistings/image/upload/3DB5C811-EF67-435C-BD3A-F3F1E61E4313_nvw5xz.jpg,20387,35.862833,-94.196334,92000.0,2021-02-03,152.82,
14,23385,wearesimplehomes,active,Wearesimplehomes/Oz,Tiny House,purchase,1.0,1.0,256.0,San Luis Obispo,California,http://res.cloudinary.com/tinyhouselistings/image/upload/6DCBEEF6-280D-4D8B-9FA6-5F67E1A99162_wcycjz.jpg,167452,35.28,-120.66,72000.0,2021-02-02,281.25,
15,23381,240-sq-ft-tiny-home-w-full-bathroom-kitchenette-delivery-inst-included,active,"200 sq. ft. Tiny Home w/ Full Bathroom, Kitchenette - Delivery & Inst. Included",Tiny House,model,1.0,1.0,200.0,San Diego,California,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0230_mhp6hj.jpg,167353,32.75,-117.21,24000.0,2021-02-02,120.0,
